Qaraqosh;ka.ʁa.kɔʃ
quenchants;kwa.sja
quencher;kɑ̃.ʃe
quenelisme;kə.nɛ.lism
queneliste;kə.nɛ.list
quenelistes;kə.nɛ.list
quenelle;kə.nɛl
quenelles;kə.nɛl
quenellier;kə.nɛ.lje
quenelliers;kə.nɛ.lje
quenellisme;kə.nɛ.lism
quenellismes;kə.nɛ.lism
quenelliste;kə.nɛ.list
quenellistes;kə.nɛ.list
quenettier;kə.nɛ.tje
quenettiers;kə.nɛ.tje
quenotte;kə.nɔt
quenottes;kə.nɔt
quenouillée;kə.nu.je
quenouille;kə.nuj
quenouilles;kə.nuj
quenouillon;kə.nu.jɔ̃
quepis;kɑ̃
quercétine;kɛʁ.se.tin
quercétrine;kɛʁ.se.tʁin
querce;kɛʁs
quercia;ka.zi
quercinois;kɛʁ.si.nwɑ
quercinoise;kɛʁ.si.nwɑz
quercinoises;kɛʁ.si.nwɑz
quercitrin;kɛʁ.si.tʁɛ̃
quercitrine;kɛʁ.si.tʁin
quercitrines;kɛʁ.si.tʁin
quercitron;kɛʁ.si.tʁɔ̃
quercitrons;kɛʁ.si.tʁɔ̃
quercynois;kɛʁ.si.nwɑ
quercynoise;kɛʁ.si.nwɑz
quercynoises;kɛʁ.si.nwɑz
querelar;kwal
querele;kal.ɡœʁl
querellâmes;kə.ʁɛ.lam
querellât;kə.ʁɛ.la
querellâtes;kə.ʁɛ.lat
querellèrent;kə.ʁɛ.lɛʁ
querellé;kə.ʁɛ.le
querellée;kə.ʁɛ.le
querellées;kə.ʁɛ.le
querellés;kə.ʁɛ.le
querella;kə.ʁɛ.la
querellai;kə.ʁɛ.le
querellaient;kə.ʁɛ.lɛ
querellais;kə.ʁɛ.lɛ
querellait;kə.ʁɛ.lɛ
querellant;kə.ʁɛ.lɑ̃
querellas;kə.ʁɛ.la
querellasse;kə.ʁɛ.las
querellassent;kə.ʁɛ.las
querellasses;kə.ʁɛ.las
querellassiez;kə.ʁɛ.la.sje
querellassions;kə.ʁɛ.la.sjɔ̃
querelle;kə.ʁɛl
querellent;kə.ʁɛl
quereller;kə.ʁe.le
querellera;kə.ʁɛ.lə.ʁa
querellerai;kə.ʁɛ.lə.ʁe
querelleraient;kə.ʁɛ.lə.ʁɛ
querellerais;kə.ʁɛ.lə.ʁɛ
querellerait;kə.ʁɛ.lə.ʁɛ
querelleras;kə.ʁɛ.lə.ʁa
querellerez;kə.ʁɛ.lə.ʁe
querelleriez;kə.ʁɛ.lə.ʁje
querellerions;kə.ʁɛ.lə.ʁjɔ̃
querellerons;kə.ʁɛ.lə.ʁɔ̃
querelleront;kə.ʁɛ.lə.ʁɔ̃
querelles;kə.ʁɛl
querelleurs;kə.ʁɛ.lœʁ
querelleuse;kə.ʁɛ.løz
querelleux;kə.ʁɛ.lø
querellez;kə.ʁɛ.le
querelliez;kə.ʁɛ.lje
querellions;kə.ʁɛ.ljɔ̃
querellons;kə.ʁɛ.lɔ̃
querido;kwal
querimonia;kʁɛ̃.tə.ʁɛ
quernâmes;kɛʁ.nam
quernât;kɛʁ.na
quernâtes;kɛʁ.nat
quernèrent;kɛʁ.nɛʁ
querné;kɛʁ.ne
quernée;kɛʁ.ne
quernées;kɛʁ.ne
quernés;kɛʁ.ne
querna;kɛʁ.na
quernai;kɛʁ.ne
quernaient;kɛʁ.nɛ
quernais;kɛʁ.nɛ
quernait;kɛʁ.nɛ
quernant;kɛʁ.nɑ̃
quernas;kɛʁ.na
quernasse;kɛʁ.nas
quernassent;kɛʁ.nas
quernasses;kɛʁ.nas
quernassiez;kɛʁ.na.sje
quernassions;kɛʁ.na.sjɔ̃
querne;kɛʁn
quernent;kɛʁn
querner;kɛʁ.ne
quernera;kɛʁ.nə.ʁa
quernerai;kɛʁ.nə.ʁe
querneraient;kɛʁ.nə.ʁɛ
quernerais;kɛʁ.nə.ʁɛ
quernerait;kɛʁ.nə.ʁɛ
querneras;kɛʁ.nə.ʁa
quernerez;kɛʁ.nə.ʁe
querneriez;kɛʁ.nə.ʁje
quernerions;kɛʁ.nə.ʁjɔ̃
quernerons;kɛʁ.nə.ʁɔ̃
querneront;kɛʁ.nə.ʁɔ̃
quernes;kɛʁn
quernez;kɛʁ.ne
querniez;kɛʁ.nje
quernions;kɛʁ.njɔ̃
quernons;kɛʁ.nɔ̃
queron;keʁɔ
query;kɔ.ʁi.dɔʁ
quesaco;ke.za.ko
quesako;ke.za.ko
quesnelisme;ke.nɛ.lism
quesnelismes;ke.nɛ.lism
quesneliste;ke.nɛ.list
quesnelistes;ke.nɛ.list
quesnellisme;kɛ.nɛ.lism
quesnelliste;kɛ.nɛ.list
quesque;kɛs.kə
quessë;kɔ.ʒi.te
quessoy;kɛ.swa
questeur;kɛs.tœʁ
questeurs;kɛs.tœʁ
question;kɛs.tjɔ̃
questionnâmes;kɛs.tjɔ.nam
questionnât;kɛs.tjɔ.na
questionnâtes;kɛs.tjɔ.nat
questionnèrent;kɛs.tjɔ.nɛʁ
questionné;kɛs.tjɔ.ne
questionnée;kɛs.tjɔ.ne
questionnées;kɛs.tjɔ.ne
questionnés;kɛs.tjɔ.ne
questionna;kɛs.tjɔ.na
questionnable;kɛs.tjɔ.nabl
questionnables;kɛs.tjɔ.nabl
questionnai;kɛs.tjɔ.ne
questionnaient;kɛs.tjɔ.nɛ
questionnaire;kɛs.tjɔ.nɛʁ
questionnaires;kɛs.tjɔ.nɛʁ
questionnais;kɛs.tjɔ.nɛ
questionnait;kɛs.tjɔ.nɛ
questionnant;kɛs.tjɔ.nɑ̃
questionnas;kɛs.tjɔ.na
questionnasse;kɛs.tjɔ.nas
questionnassent;kɛs.tjɔ.nas
questionnasses;kɛs.tjɔ.nas
questionnassiez;kɛs.tjɔ.na.sje
questionnassions;kɛs.tjɔ.na.sjɔ̃
questionne;kɛs.tjɔn
questionnements;kɛs.tjɔn.mɑ̃
questionnent;kɛs.tjɔn
questionner;kɛs.tjɔ.ne
questionnera;kɛs.tjɔ.nə.ʁa
questionnerai;kɛs.tjɔ.nə.ʁe
questionneraient;kɛs.tjɔ.nə.ʁɛ
questionnerais;kɛs.tjɔ.nə.ʁɛ
questionnerait;kɛs.tjɔ.nə.ʁɛ
questionneras;kɛs.tjɔ.nə.ʁa
questionnerez;kɛs.tjɔ.nə.ʁe
questionneriez;kɛs.tjɔ.nə.ʁje
questionnerions;kɛs.tjɔ.nə.ʁjɔ̃
questionnerons;kɛs.tjɔ.nə.ʁɔ̃
questionneront;kɛs.tjɔ.nə.ʁɔ̃
questionnes;kɛs.tjɔn
questionneur;kɛs.tjɔ.nœʁ
questionneurs;kɛs.tjɔ.nœʁ
questionneuse;kɛs.tjɔ.nøz
questionneuses;kɛs.tjɔ.nøz
questionnez;kɛs.tjɔ.ne
questionniez;kɛs.tjɔ.nje
questionnions;kɛs.tjɔ.njɔ̃
questionnons;kɛs.tjɔ.nɔ̃
questions;kɛs.tjɔ̃
questre;ko.to
questura;ka.zi
questure;kɛs.tyʁ
questures;kɛs.tyʁ
quet;kɛ
quetsche;kwɛtʃ
quetsches;kwɛtʃ
quetschier;kwɛ.tʃje
quettâmes;kɛ.tam
quettât;kɛ.ta
quettâtes;kɛ.tat
quettèrent;kɛ.tɛʁ
quetté;kɛ.te
quettée;kɛ.te
quettées;kɛ.te
quettés;kɛ.te
quetta;kɛ.ta
quettai;kɛ.te
quettaient;kɛ.tɛ
quettais;kɛ.tɛ
quettait;kɛ.tɛ
quettant;kɛ.tɑ̃
quettas;kɛ.ta
quettasse;kɛ.tas
quettassent;kɛ.tas
quettasses;kɛ.tas
quettassiez;kɛ.ta.sje
quettassions;kɛ.ta.sjɔ̃
quette;kɛt
quettent;kɛt
quetter;kɛ.te
quettera;kɛ.tə.ʁa
quetterai;kɛ.tə.ʁe
quetteraient;kɛ.tə.ʁɛ
quetterais;kɛ.tə.ʁɛ
quetterait;kɛ.tə.ʁɛ
quetteras;kɛ.tə.ʁa
quetterez;kɛ.tə.ʁe
quetteriez;kɛ.tə.ʁje
quetterions;kɛ.tə.ʁjɔ̃
quetterons;kɛ.tə.ʁɔ̃
quetteront;kɛ.tə.ʁɔ̃
quettes;kɛt
quettez;kɛ.te
quettiez;kɛ.tje
quettions;kɛ.tjɔ̃
quettons;kɛ.tɔ̃
quetzal;kɛt.zal
quetzals;kɛt.zal
queudoise;kø.dwaz
queudoises;kø.dwaz
queue;kø
queues;kø
queuleuleu;kø.lø.lø
queurçâmes;kœʁ.sam
queurçât;kœʁ.sa
queurçâtes;kœʁ.sat
queurça;kœʁ.sa
queurçai;kœʁ.se
queurçaient;kœʁ.sɛ
queurçais;kœʁ.sɛ
queurçait;kœʁ.sɛ
queurçant;kœʁ.sɑ̃
queurças;kœʁ.sa
queurçasse;kœʁ.sas
queurçassent;kœʁ.sas
queurçasses;kœʁ.sas
queurçassiez;kœʁ.sa.sje
queurçassions;kœʁ.sa.sjɔ̃
queurçons;kœʁ.sɔ̃
queurcèrent;kœʁ.sɛʁ
queurcé;kœʁ.se
queurcée;kœʁ.se
queurcées;kœʁ.se
queurcés;kœʁ.se
queurce;kœʁs
queurcent;kœʁs
queurcer;kœʁ.se
queurcera;kœʁ.sə.ʁa
queurcerai;kœʁ.sə.ʁe
queurceraient;kœʁ.sə.ʁɛ
queurcerais;kœʁ.sə.ʁɛ
queurcerait;kœʁ.sə.ʁɛ
queurceras;kœʁ.sə.ʁa
queurcerez;kœʁ.sə.ʁe
queurceriez;kœʁ.sə.ʁje
queurcerions;kœʁ.sə.ʁjɔ̃
queurcerons;kœʁ.sə.ʁɔ̃
queurceront;kœʁ.sə.ʁɔ̃
queurces;kœʁs
queurcez;kœʁ.se
queurciez;kœʁ.sje
queurcions;kœʁ.sjɔ̃
queurlet;kœʁ.lɛ
queursâmes;kœʁ.sam
queursât;kœʁ.sa
queursâtes;kœʁ.sat
queursèrent;kœʁ.sɛʁ
queursé;kœʁ.se
queursée;kœʁ.se
queursées;kœʁ.se
queursés;kœʁ.se
queursa;kœʁ.sa
queursai;kœʁ.se
queursaient;kœʁ.sɛ
queursais;kœʁ.sɛ
queursait;kœʁ.sɛ
queursant;kœʁ.sɑ̃
queursas;kœʁ.sa
queursasse;kœʁ.sas
queursassent;kœʁ.sas
queursasses;kœʁ.sas
queursassiez;kœʁ.sa.sje
queursassions;kœʁ.sa.sjɔ̃
queurse;kœʁs
queursent;kœʁs
queurser;kœʁ.se
queursera;kœʁ.sə.ʁa
queurserai;kœʁ.sə.ʁe
queurseraient;kœʁ.sə.ʁɛ
queurserais;kœʁ.sə.ʁɛ
queurserait;kœʁ.sə.ʁɛ
queurseras;kœʁ.sə.ʁa
queurserez;kœʁ.sə.ʁe
queurseriez;kœʁ.sə.ʁje
queurserions;kœʁ.sə.ʁjɔ̃
queurserons;kœʁ.sə.ʁɔ̃
queurseront;kœʁ.sə.ʁɔ̃
queurses;kœʁs
queursez;kœʁ.se
queursiez;kœʁ.sje
queursions;kœʁ.sjɔ̃
queursoir;kœʁ.swaʁ
queursons;kœʁ.sɔ̃
queusâmes;kø.zam
queusât;kø.za
queusâtes;kø.zat
queusèrent;kø.zɛʁ
queusé;kø.ze
queusée;kø.ze
queusées;kø.ze
queusés;kø.ze
queusa;kø.za
queusai;kø.ze
queusaient;kø.zɛ
queusais;kø.zɛ
queusait;kø.zɛ
queusant;kø.zɑ̃
queusas;kø.za
queusasse;kø.zas
queusassent;kø.zas
queusasses;kø.zas
queusassiez;kø.za.sje
queusassions;kø.za.sjɔ̃
queuse;køz
queusent;køz
queuser;kø.ze
queusera;kø.zə.ʁa
queuserai;kø.zə.ʁe
queuseraient;kø.zə.ʁɛ
queuserais;kø.zə.ʁɛ
queuserait;kø.zə.ʁɛ
queuseras;kø.zə.ʁa
queuserez;kø.zə.ʁe
queuseriez;kø.zə.ʁje
queuserions;kø.zə.ʁjɔ̃
queuserons;kø.zə.ʁɔ̃
queuseront;kø.zə.ʁɔ̃
queuses;køz
queusez;kø.ze
queusiez;kø.zje
queusions;kø.zjɔ̃
queusons;kø.zɔ̃
queutâmes;kø.tam
queutât;kø.ta
queutâtes;kø.tat
queutèrent;kø.tɛʁ
queuté;kø.te
queutée;kø.te
queutées;kø.te
queutés;kø.te
queuta;kø.ta
queutai;kø.te
queutaient;kø.tɛ
queutais;kø.tɛ
queutait;kø.tɛ
queutant;kø.tɑ̃
queutard;kø.taʁ
queutarde;kø.taʁd
queutards;kø.taʁ
queutas;kø.ta
queutasse;kø.tas
queutassent;kø.tas
queutasses;kø.tas
queutassiez;kø.ta.sje
queutassions;kø.ta.sjɔ̃
queute;køt
queutent;køt
queuter;kø.te
queutera;kø.tə.ʁa
queuterai;kø.tə.ʁe
queuteraient;kø.tə.ʁɛ
queuterais;kø.tə.ʁɛ
queuterait;kø.tə.ʁɛ
queuteras;kø.tə.ʁa
queuterez;kø.tə.ʁe
queuteriez;kø.tə.ʁje
queuterions;kø.tə.ʁjɔ̃
queuterons;kø.tə.ʁɔ̃
queuteront;kø.tə.ʁɔ̃
queutes;køt
queutez;kø.te
queutiez;kø.tje
queutions;kø.tjɔ̃
queutons;kø.tɔ̃
quevauvillois;kə.vo.vi.lwa
quevauvilloise;kə.vo.vi.lwaz
quevauvilloises;kə.vo.vi.lwaz
queys;kwa.sja
quezaco;ke.za.ko
quezako;ke.za.ko
quià;kwa.dʁy.plək.ʁɔʃ
quiète;kjɛt
quiètement;kjɛt.mɑ̃
quiètes;kjɛt
quiétisme;kje.tism
quiétismes;kø.taʁ
quiétiste;kje.tist
quiétude;kje.tyd
quiétudes;kje.tyd
qui;ki
quia;kɥi.ja
quibus;kɥi.bys
quichâmes;ki.ʃam
quichât;ki.ʃa
quichâtes;ki.ʃat
quichèrent;ki.ʃɛʁ
quiché;ki.ʃe
quicha;ki.ʃa
quichai;ki.ʃe
quichaient;ki.ʃɛ
quichais;ki.ʃɛ
quichait;ki.ʃɛ
quichant;ki.ʃɑ̃
quichas;ki.ʃa
quichasse;ki.ʃas
quichassent;ki.ʃas
quichasses;ki.ʃas
quichassiez;ki.ʃa.sje
quichassions;ki.ʃa.sjɔ̃
quiche;kiʃ
quichenotte;kiʃ.nɔt
quichenottes;kø.taʁ
quichent;kiʃ
quichera;ki.ʃə.ʁa
quicherai;ki.ʃə.ʁe
quicheraient;ki.ʃə.ʁɛ
quicherais;ki.ʃə.ʁɛ
quicherait;ki.ʃə.ʁɛ
quicheras;ki.ʃə.ʁa
quicherez;ki.ʃə.ʁe
quicheriez;ki.ʃə.ʁje
quicherions;ki.ʃə.ʁjɔ̃
quicherons;ki.ʃə.ʁɔ̃
quicheront;ki.ʃə.ʁɔ̃
quiches;kiʃ
quichez;ki.ʃe
quichièira;kɛ.za.ko
quichièra;kɛ.za.ko
quichiera;kɛ.za.ko
quichiez;ki.ʃje
quichions;ki.ʃjɔ̃
quichons;ki.ʃɔ̃
quichua;ki.ʃɥa
quick;kwik
quicks;kwik
quiconque;ki.kɔ̃k
quid;kwid
quidam;kɥi.dam
quidams;kɥi.dam
quiddité;kɥi.di.te
quiddités;kø.taʁ
quiebra;kal.sjɔ̃
quiescence;kjɛ.sɑ̃s
quiescences;kjɛ.sɑ̃s
quiescent;kɥi.ɛ.sɑ̃
quiescents;kɥi.ɛ.sɑ̃
quiet;kjɛ
quiets;kjɛ
quietude;kwal
quignette;ki.ɲɛt
quignettes;kø.taʁ
quignon;ki.ɲɔ̃
quignons;ki.ɲɔ̃
quijada;ke.lidʁ
quilômetro;kwal
quilai;ki.la.i
quilais;kø.taʁ
quillâmes;ki.jam
quillât;ki.ja
quillâtes;ki.jat
quillèrent;ki.jɛʁ
quillé;ki.je
quillée;ki.je
quilla;ki.ja
quillai;ki.je
quillaient;ki.jɛ
quillais;ki.jɛ
quillait;ki.jɛ
quillant;ki.jɑ̃
quillard;ki.jaʁ
quillards;ki.jaʁ
quillas;ki.ja
quillasse;ki.jas
quillassent;ki.jas
quillasses;ki.jas
quillassiez;ki.ja.sje
quillassions;ki.ja.sjɔ̃
quille;kij
quillent;kij
quiller;ki.je
quillera;ki.jə.ʁa
quillerai;ki.jə.ʁe
quilleraient;ki.jə.ʁɛ
quillerais;ki.jə.ʁɛ
quillerait;ki.jə.ʁɛ
quilleras;ki.jə.ʁa
quillerez;ki.jə.ʁe
quilleriez;ki.jə.ʁje
quillerions;ki.jə.ʁjɔ̃
quillerons;ki.jə.ʁɔ̃
quilleront;ki.jə.ʁɔ̃
quilles;kij
quillette;kə.nuj
quillez;ki.je
quillier;ki.je
quilliers;ki.je
quilliez;ki.je
quillions;ki.jɔ̃
quillon;ki.jɔ̃
quillonnâmes;ki.jɔ.am
quillonnât;ki.jɔ.a
quillonnâtes;ki.jɔ.at
quillonnèrent;ki.jɔ.ɛʁ
quillonné;ki.jɔ.e
quillonnée;ki.jɔ.e
quillonnées;ki.jɔ.e
quillonnés;ki.jɔ.e
quillonna;ki.jɔ.a
quillonnai;ki.jɔ.e
quillonnaient;ki.jɔ.ɛ
quillonnais;ki.jɔ.ɛ
quillonnait;ki.jɔ.ɛ
quillonnant;ki.jɔ.ɑ̃
quillonnas;ki.jɔ.a
quillonnasse;ki.jɔ.as
quillonnassent;ki.jɔ.as
quillonnasses;ki.jɔ.as
quillonnassiez;ki.jɔ.a.sje
quillonnassions;ki.jɔ.a.sjɔ̃
quillonne;ki.jɔ
quillonnent;ki.jɔ
quillonner;ki.jɔ.ne
quillonnera;ki.jɔ.ə.ʁa
quillonnerai;ki.jɔ.ə.ʁe
quillonneraient;ki.jɔ.ə.ʁɛ
quillonnerais;ki.jɔ.ə.ʁɛ
quillonnerait;ki.jɔ.ə.ʁɛ
quillonneras;ki.jɔ.ə.ʁa
quillonnerez;ki.jɔ.ə.ʁe
quillonneriez;ki.jɔ.ə.ʁje
quillonnerions;ki.jɔ.ə.ʁjɔ̃
quillonnerons;ki.jɔ.ə.ʁɔ̃
quillonneront;ki.jɔ.ə.ʁɔ̃
quillonnes;ki.jɔ
quillonnez;ki.jɔ.e
quillonniez;ki.jɔ.je
quillonnions;ki.jɔ.jɔ̃
quillonnons;ki.jɔ.ɔ̃
quillons;ki.jɔ̃
quilo;kjɛ
quilogram;kjɛ
quilombos;kwa.sja
quilowatt;kwal
quimbois;kɛ̃.bwa
quimboiseur;kɛ̃.bwa.zœʁ
quimboiseurs;kø.taʁ
quimpâmes;kɛ̃.pam
quimpât;kɛ̃.pa
quimpâtes;kɛ̃.pat
quimpèrent;kɛ̃.pɛʁ
quimpé;kɛ̃.pe
quimpée;kɛ̃.pe
quimpées;kɛ̃.pe
quimpés;kɛ̃.pe
quimpa;kɛ̃.pa
quimpai;kɛ̃.pe
quimpaient;kɛ̃.pɛ
quimpais;kɛ̃.pɛ
quimpait;kɛ̃.pɛ
quimpant;kɛ̃.pɑ̃
quimpas;kɛ̃.pa
quimpasse;kɛ̃.pas
quimpassent;kɛ̃.pas
quimpasses;kɛ̃.pas
quimpassiez;kɛ̃.pa.sje
quimpassions;kɛ̃.pa.sjɔ̃
quimpe;kɛ̃p
quimpent;kɛ̃p
quimper;kɛ̃.pe
quimpera;kɛ̃.pə.ʁa
quimperai;kɛ̃.pə.ʁe
quimperaient;kɛ̃.pə.ʁɛ
quimperais;kɛ̃.pə.ʁɛ
quimperait;kɛ̃.pə.ʁɛ
quimperas;kɛ̃.pə.ʁa
quimperez;kɛ̃.pə.ʁe
quimperiez;kɛ̃.pə.ʁje
quimperions;kɛ̃.pə.ʁjɔ̃
quimperons;kɛ̃.pə.ʁɔ̃
quimperont;kɛ̃.pə.ʁɔ̃
quimpes;kɛ̃p
quimpez;kɛ̃.pe
quimpiez;kɛ̃.pje
quimpions;kɛ̃.pjɔ̃
quimpons;kɛ̃.pɔ̃
quinâmes;ki.nam
quinât;ki.na
quinâtes;ki.nat
quinèrent;ki.nɛʁ
quiné;ki.ne
quinétine;ki.ne.tin
quina;ki.na
quinai;ki.ne
quinaient;ki.nɛ
quinaire;ki.nɛʁ
quinais;ki.nɛ
quinait;ki.nɛ
quinant;ki.nɑ̃
quinaquina;ki.na.ki.na
quinarians;kwa.sja
quinas;ki.na
quinasse;ki.nas
quinassent;ki.nas
quinasses;ki.nas
quinassiez;ki.na.sje
quinassions;ki.na.sjɔ̃
quinate;kinate
quinaud;kə.ʁe.le
quinauderie;ki.no.də.ʁi
quinauds;ki.no
quincaillère;kɛ̃.ka.jɛʁ
quincaillères;kɛ̃.ka.jɛʁ
quincaille;kɛ̃.kaj
quincailler;kɛ̃.ka.jɛʁ
quincaillerie;kɛ̃.kaj.ʁi
quincailleries;kɛ̃.ka.jʁi
quincaillers;kɛ̃.ka.je
quincaillière;kɛ̃.ka.jɛʁ
quincaillières;kɛ̃.ka.jɛʁ
quincaillier;kɛ̃.kaj.ʁi
quincailliers;kɛ̃.ka.je
quincajou;kɛ̃.ka.ʒu
quincite;kɛ̃.sit
quincites;kɛ̃.sit
quinconce;kɛ̃.kɔ̃s
quinconces;kɛ̃.kɔ̃s
quinconcial;kɛ̃kɔ̃sjal
quinconciale;kɛ̃kɔ̃sjal
quinconciales;kɛ̃kɔ̃sjal
quinconciaux;kɛ̃kɔ̃sjo
quincyte;kɛ̃.sit
quindécennale;kɛ̃.de.sɛ.nal
quindécennales;kɛ̃.de.sɛ.nal
quindécennaux;kɛ̃.de.sɛ.no
quindécimviral;kɥɛ̃.de.sɛ̃.vi.ʁal
quindecies;kɛ̃.de.sjɛs
quindenté;kwa.tɛʁ.ni.fɔ.lje
quine;kin
quinent;kin
quiner;ki.ne
quinera;ki.nə.ʁa
quinerai;ki.nə.ʁe
quineraient;ki.nə.ʁɛ
quinerais;ki.nə.ʁɛ
quinerait;ki.nə.ʁɛ
quineras;ki.nə.ʁa
quinerez;ki.nə.ʁe
quineriez;ki.nə.ʁje
quinerions;ki.nə.ʁjɔ̃
quinerons;ki.nə.ʁɔ̃
quineront;ki.nə.ʁɔ̃
quines;kin
quinette;ki.nɛt
quinettes;kø.taʁ
quinez;ki.ne
quingentesimo;kɥɛ̃.ʒɛ̃.te.zi.mo
quingo;ka.ʁə.ʁa
quinicine;ki.ni.sin
quinidine;ki.ni.din
quiniez;ki.nje
quinine;ki.nin
quinines;kø.taʁ
quinions;ki.njɔ̃
quinnipiac;ki.ni.pjak
quinnipiacs;ki.ni.pjak
quinoïdine;ki.nɔ.i.din
quinoa;ki.nɔ.a
quinoas;ki.nɔ.a
quinoléine;ki.nɔ.le.in
quinola;ki.nɔ.la
quinolizines;kwa.sja
quinolone;ki.no.lɔn
quinolones;ki.no.lɔn
quinon;ki.nɔ̃
quinons;ki.nɔ̃
quinquéliba;kɛ̃.ke.li.ba
quinquérème;kɥɛ̃.kɥe.ʁɛm
quinquérèmes;kɥɛ̃.kɥe.ʁɛm
quinqua;kɛ̃.ka
quinquagénaire;kɛ̃.ka.ʒe.nɛʁ
quinquagénaires;kɛ̃.ka.ʒe.nɛʁ
quinquagésime;kɛ̃.ka.ʒe.zim
quinquagennale;kɛ̃.ka.ʒɛ.nal
quinquagennales;kɛ̃.ka.ʒɛ.nal
quinquagennaux;kɛ̃.ka.ʒɛ.no
quinquagesimo;kɥɛ̃.kwa.ʒe.zi.mo
quinquangulé;kɥɛ̃.kwɑ̃.ɡy.le
quinquangulée;kɥɛ̃.kwɑ̃.ɡy.le
quinquangulées;kɥɛ̃.kwɑ̃.ɡy.le
quinquangulés;kɥɛ̃.kwɑ̃.ɡy.le
quinquangulaire;kɥɛ̃.kwɑ̃.ɡy.lɛʁ
quinquangulaires;kɥɛ̃.kwɑ̃.ɡy.lɛʁ
quinquatries;kɥɛ̃.kwa.tʁi
quinque;kɥɛ̃.kɥe
quinquennal;kɛ̃.ke.nal
quinquennale;kɛ̃.kɛ.nal
quinquennales;kɛ̃.kɛ.nal
quinquennalité;kɛ̃.kɛn.na.li.te
quinquennalités;kø.taʁ
quinquennat;kɛ̃.ke.na
quinquennats;kø.taʁ
quinquennaux;kɛ̃.kɛ.no
quinquerce;kɥɛ̃.kɥɛʁs
quinquercion;kɥɛ̃.kɥɛʁ.sjɔ̃
quinquernâmes;kɛ̃.kɛʁ.nam
quinquernât;kɛ̃.kɛʁ.na
quinquernâtes;kɛ̃.kɛʁ.nat
quinquernèrent;kɛ̃.kɛʁ.nɛʁ
quinquerné;kɛ̃.kɛʁ.ne
quinquernée;kɛ̃.kɛʁ.ne
quinquernées;kɛ̃.kɛʁ.ne
quinquernés;kɛ̃.kɛʁ.ne
quinquerna;kɛ̃.kɛʁ.na
quinquernai;kɛ̃.kɛʁ.ne
quinquernaient;kɛ̃.kɛʁ.nɛ
quinquernais;kɛ̃.kɛʁ.nɛ
quinquernait;kɛ̃.kɛʁ.nɛ
quinquernant;kɛ̃.kɛʁ.nɑ̃
quinquernas;kɛ̃.kɛʁ.na
quinquernasse;kɛ̃.kɛʁ.nas
quinquernassent;kɛ̃.kɛʁ.nas
quinquernasses;kɛ̃.kɛʁ.nas
quinquernassiez;kɛ̃.kɛʁ.na.sje
quinquernassions;kɛ̃.kɛʁ.na.sjɔ̃
quinquerne;kɛ̃.kɛʁn
quinquernent;kɛ̃.kɛʁn
quinquerner;kɛ̃.kɛʁ.ne
quinquernera;kɛ̃.kɛʁ.nə.ʁa
quinquernerai;kɛ̃.kɛʁ.nə.ʁe
quinquerneraient;kɛ̃.kɛʁ.nə.ʁɛ
quinquernerais;kɛ̃.kɛʁ.nə.ʁɛ
quinquernerait;kɛ̃.kɛʁ.nə.ʁɛ
quinquerneras;kɛ̃.kɛʁ.nə.ʁa
quinquernerez;kɛ̃.kɛʁ.nə.ʁe
quinquerneriez;kɛ̃.kɛʁ.nə.ʁje
quinquernerions;kɛ̃.kɛʁ.nə.ʁjɔ̃
quinquernerons;kɛ̃.kɛʁ.nə.ʁɔ̃
quinquerneront;kɛ̃.kɛʁ.nə.ʁɔ̃
quinquernes;kɛ̃.kɛʁn
quinquernez;kɛ̃.kɛʁ.ne
quinquerniez;kɛ̃.kɛʁ.nje
quinquernions;kɛ̃.kɛʁ.njɔ̃
quinquernons;kɛ̃.kɛʁ.nɔ̃
quinquet;kɛ̃.kɛ
quinquets;kɛ̃.kɛ
quinquies;kɥɛ̃.kɥi.ɛs
quinquilitère;kɛ̃.ki.li.tɛʁ
quinquin;kɛ̃.kɛ̃
quinquina;kɛ̃.ki.na
quinquinas;kø.taʁ
quinquins;kø.taʁ
quinson;kɛ̃.sɔ̃
quintâmes;kɛ̃.tam
quintât;kɛ̃.ta
quintâtes;kɛ̃.tat
quintèrent;kɛ̃.tɛʁ
quinté;kɛ̃.te
quintée;kɛ̃.te
quintées;kɛ̃.te
quintés;kɛ̃.te
quint;kɛ̃
quintaïeul;kɔ̃.tʁə.bʁa.kə.ʁe
quinta;kɛ̃.ta
quintadinâmes;kɛ̃.ta.di.nam
quintadinât;kɛ̃.ta.di.na
quintadinâtes;kɛ̃.ta.di.nat
quintadinèrent;kɛ̃.ta.di.nɛʁ
quintadiné;kɛ̃.ta.di.ne
quintadina;kɛ̃.ta.di.na
quintadinai;kɛ̃.ta.di.ne
quintadinaient;kɛ̃.ta.di.nɛ
quintadinais;kɛ̃.ta.di.nɛ
quintadinait;kɛ̃.ta.di.nɛ
quintadinant;kɛ̃.ta.di.nɑ̃
quintadinas;kɛ̃.ta.di.na
quintadinasse;kɛ̃.ta.di.nas
quintadinassent;kɛ̃.ta.di.nas
quintadinasses;kɛ̃.ta.di.nas
quintadinassiez;kɛ̃.ta.di.na.sje
quintadinassions;kɛ̃.ta.di.na.sjɔ̃
quintadine;kɛ̃.ta.din
quintadinent;kɛ̃.ta.din
quintadiner;kɛ̃.ta.di.ne
quintadinera;kɛ̃.ta.di.nə.ʁa
quintadinerai;kɛ̃.ta.di.nə.ʁe
