PàS;pe.a.ɛs
pondrons;pɔ̃.dʁɔ̃
pondront;pɔ̃.dʁɔ̃
ponds;pɔ̃
pondu;pɔ̃.dy
pondue;pɔ̃.dy
pondues;pɔ̃.dy
pondus;pɔ̃.dy
pondweeds;fi.lɔ.si.li.kat
ponere;pɔ.dɛks
ponette;pɔ.nɛt
ponettes;pɔ.nɛt
poney;pɔ.nɛ
poneys;pɔ.nɛ
pongèrent;pɔ̃.ʒɛʁ
pongé;pɔ̃.ʒe
pongée;pɔ̃.ʒe
pongées;pɔ̃.ʒe
pongés;pɔ̃.ʒe
pongeâmes;pɔ̃.ʒam
pongeât;pɔ̃.ʒa
pongeâtes;pɔ̃.ʒat
ponge;pɔ̃ʒ
pongea;pɔ̃.ʒa
pongeai;pɔ̃.ʒe
pongeaient;pɔ̃.ʒɛ
pongeais;pɔ̃.ʒɛ
pongeait;pɔ̃.ʒɛ
pongeant;pɔ̃.ʒɑ̃
pongeas;pɔ̃.ʒa
pongeasse;pɔ̃.ʒas
pongeassent;pɔ̃.ʒas
pongeasses;pɔ̃.ʒas
pongeassiez;pɔ̃.ʒa.sje
pongeassions;pɔ̃.ʒa.sjɔ̃
pongent;pɔ̃ʒ
pongeons;pɔ̃.ʒɔ̃
ponger;pɔ̃.ʒe
pongera;pɔ̃.ʒə.ʁa
pongerai;pɔ̃.ʒə.ʁe
pongeraient;pɔ̃.ʒə.ʁɛ
pongerais;pɔ̃.ʒə.ʁɛ
pongerait;pɔ̃.ʒə.ʁɛ
pongeras;pɔ̃.ʒə.ʁa
pongerez;pɔ̃.ʒə.ʁe
pongeriez;pɔ̃.ʒə.ʁje
pongerions;pɔ̃.ʒə.ʁjɔ̃
pongerons;pɔ̃.ʒə.ʁɔ̃
pongeront;pɔ̃.ʒə.ʁɔ̃
ponges;pɔ̃ʒ
pongez;pɔ̃.ʒe
pongiez;pɔ̃.ʒje
pongions;pɔ̃.ʒjɔ̃
pongiste;pɔ̃.ʒist
pongistes;pɔ̃.ʒist
ponhedor;pɔs.tɔ̃
ponors;pɔ.li.ʒe.nism
ponot;pɔ.no
ponots;pɔ.no
pons;pɔ.dɛks
ponsonnelle;pɔ̃.sɔ.nɛl
pontâmes;pɔ̃.tam
pontât;pɔ̃.ta
pontâtes;pɔ̃.tat
pontèle;pɔ̃.tɛl
pontèlent;pɔ̃.tɛl
pontèlera;pɔ̃.tɛ.lə.ʁa
pontèlerai;pɔ̃.tɛ.lə.ʁe
pontèleraient;pɔ̃.tɛ.lə.ʁɛ
pontèlerais;pɔ̃.tɛ.lə.ʁɛ
pontèlerait;pɔ̃.tɛ.lə.ʁɛ
pontèleras;pɔ̃.tɛ.lə.ʁa
pontèlerez;pɔ̃.tɛ.lə.ʁe
pontèleriez;pɔ̃.tɛ.lə.ʁje
pontèlerions;pɔ̃.tɛ.lə.ʁjɔ̃
pontèlerons;pɔ̃.tɛ.lə.ʁɔ̃
pontèleront;pɔ̃.tɛ.lə.ʁɔ̃
pontèles;pɔ̃.tɛl
pontèrent;pɔ̃.tɛʁ
ponté;pɔ̃.te
pontédériacées;pɔ̃.te.de.ʁja.se
pontédérie;pɔ̃.te.de.ʁi
pontédéries;pɔ̃.te.de.ʁi
pontée;pɔ̃.te
pontées;pɔ̃.te
ponténégrin;pɔ̃.te.ne.ɡʁɛ̃
pontés;pɔ̃.te
pont;pɔ̃
ponta;pɔ̃.ta
pontade;pɔ̃.tad
pontage;pɔ̃.taʒ
pontages;pɔ̃.taʒ
pontai;pɔ̃.te
pontaient;pɔ̃.tɛ
pontais;pɔ̃.tɛ
pontait;pɔ̃.tɛ
pontal;pɔ̃.tal
pontanatge;pɔs.tɔ̃
pontant;pɔ̃.tɑ̃
pontas;pɔ̃.ta
pontasse;pɔ̃.tas
pontassent;pɔ̃.tas
pontasses;pɔ̃.tas
pontassiez;pɔ̃.ta.sje
pontassions;pɔ̃.ta.sjɔ̃
pontche;pɔ̃ntʃe
pontches;pɔ.li.ʒe.nism
ponte;pɔ̃t
ponteau;pɔ̃.to
pontelâmes;pɔ̃.tə.lam
pontelât;pɔ̃.tə.la
pontelâtes;pɔ̃.tə.lat
pontelèrent;pɔ̃.tə.lɛʁ
pontelé;pɔ̃.tə.le
pontelée;pɔ̃.tə.le
pontelées;pɔ̃.tə.le
pontelés;pɔ̃.tə.le
pontela;pɔ̃.tə.la
pontelai;pɔ̃.tə.le
pontelaient;pɔ̃.tə.lɛ
pontelais;pɔ̃.tə.lɛ
pontelait;pɔ̃.tə.lɛ
pontelant;pɔ̃.tə.lɑ̃
pontelas;pɔ̃.tə.la
pontelasse;pɔ̃.tə.las
pontelassent;pɔ̃.tə.las
pontelasses;pɔ̃.tə.las
pontelassiez;pɔ̃.tə.la.sje
pontelassions;pɔ̃.tə.la.sjɔ̃
ponteler;pɔ̃.tə.le
pontelez;pɔ̃.tə.le
ponteliez;pɔ̃.tə.lje
pontelions;pɔ̃.tə.ljɔ̃
pontelons;pɔ̃.tə.lɔ̃
pontent;pɔ̃t
ponter;pɔ̃.te
pontera;pɔ̃.tə.ʁa
ponterai;pɔ̃.tə.ʁe
ponteraient;pɔ̃.tə.ʁɛ
ponterais;pɔ̃.tə.ʁɛ
ponterait;pɔ̃.tə.ʁɛ
ponteras;pɔ̃.tə.ʁa
ponterez;pɔ̃.tə.ʁe
ponteriez;pɔ̃.tə.ʁje
ponterions;pɔ̃.tə.ʁjɔ̃
ponterons;pɔ̃.tə.ʁɔ̃
ponteront;pɔ̃.tə.ʁɔ̃
pontes;pɔ̃t
pontet;pɔ̃.tɛ
pontets;pɔ̃.tɛ
ponteuse;pɔ̃.tøz
pontez;pɔ̃.te
ponti;pʁɔ.fe.sɔ.ʁɛs
pontier;pɔ̃.tje
pontiez;pɔ̃.tje
pontife;pɔ̃.tif
pontifes;pɔ̃.tif
pontifiâmes;pɔ̃.ti.fjam
pontifiât;pɔ̃.ti.fja
pontifiâtes;pɔ̃.ti.fjat
pontifièrent;pɔ̃.ti.fjɛʁ
pontifié;pɔ̃.ti.fje
pontifia;pɔ̃.ti.fja
pontifiables;pɔ.li.ʒe.nism
pontifiai;pɔ̃.ti.fje
pontifiaient;pɔ̃.ti.fjɛ
pontifiais;pɔ̃.ti.fjɛ
pontifiait;pɔ̃.ti.fjɛ
pontifiant;pɔ̃.ti.fjɑ̃
pontifiante;pɔ̃.ti.fjɑ̃t
pontifiants;pɔ̃.ti.fjɑ̃
pontifias;pɔ̃.ti.fja
pontifiasse;pɔ̃.ti.fjas
pontifiassent;pɔ̃.ti.fjas
pontifiasses;pɔ̃.ti.fjas
pontifiassiez;pɔ̃.ti.fja.sje
pontifiassions;pɔ̃.ti.fja.sjɔ̃
pontificado;pa.ʁa.zi.tik
pontifical;pɔ̃.ti.fi.kal
pontificale;pɔ̃.ti.fi.kal
pontificales;pɔ̃.ti.fi.kal
pontificalis;pa.ʁa.zi.tik
pontificans;pa.ʁa.zi.tik
pontificare;pa.ʁa.zi.tik
pontificat;pɔ̃.ti.fi.ka
pontificatus;pa.ʁa.zi.tik
pontificaux;pɔ̃.ti.fi.kɔ
pontifices;pɔ.li.pɛp.tid
pontifie;pɔ̃.ti.fi
pontifient;pɔ̃.ti.fi
pontifier;pɔ̃.ti.fje
pontifiera;pɔ̃.ti.fi.ʁa
pontifierai;pɔ̃.ti.fi.ʁe
pontifieraient;pɔ̃.ti.fi.ʁɛ
pontifierais;pɔ̃.ti.fi.ʁɛ
pontifierait;pɔ̃.ti.fi.ʁɛ
pontifieras;pɔ̃.ti.fi.ʁa
pontifierez;pɔ̃.ti.fi.ʁe
pontifieriez;pɔ̃.ti.fi.ʁje
pontifierions;pɔ̃.ti.fi.ʁjɔ̃
pontifierons;pɔ̃.ti.fi.ʁɔ̃
pontifieront;pɔ̃.ti.fi.ʁɔ̃
pontifies;pɔ̃.ti.fi
pontifiez;pɔ̃.ti.fje
pontifiiez;pɔ̃.ti.fi.je
pontifiions;pɔ̃.ti.fi.jɔ̃
pontifions;pɔ̃.ti.fjɔ̃
pontifying;pwa.ɲə.ʁɛ
pontilhar;pɔ̃.ta
pontillâmes;pɔ̃.ti.jam
pontillât;pɔ̃.ti.ja
pontillâtes;pɔ̃.ti.jat
pontillèrent;pɔ̃.ti.jɛʁ
pontillé;pɔ̃.ti.je
pontillée;pɔ̃.ti.je
pontillées;pɔ̃.ti.je
pontillés;pɔ̃.ti.je
pontilla;pɔ̃.ti.ja
pontillai;pɔ̃.ti.je
pontillaient;pɔ̃.ti.jɛ
pontillais;pɔ̃.ti.jɛ
pontillait;pɔ̃.ti.jɛ
pontillant;pɔ̃.ti.jɑ̃
pontillas;pɔ̃.ti.ja
pontillasse;pɔ̃.ti.jas
pontillassent;pɔ̃.ti.jas
pontillasses;pɔ̃.ti.jas
pontillassiez;pɔ̃.ti.ja.sje
pontillassions;pɔ̃.ti.ja.sjɔ̃
pontille;pɔ̃.tij
pontillent;pɔ̃.tij
pontiller;pɔ̃.ti.je
pontillera;pɔ̃.ti.jə.ʁa
pontillerai;pɔ̃.ti.jə.ʁe
pontilleraient;pɔ̃.ti.jə.ʁɛ
pontillerais;pɔ̃.ti.jə.ʁɛ
pontillerait;pɔ̃.ti.jə.ʁɛ
pontilleras;pɔ̃.ti.jə.ʁa
pontillerez;pɔ̃.ti.jə.ʁe
pontilleriez;pɔ̃.ti.jə.ʁje
pontillerions;pɔ̃.ti.jə.ʁjɔ̃
pontillerons;pɔ̃.ti.jə.ʁɔ̃
pontilleront;pɔ̃.ti.jə.ʁɔ̃
pontilles;pɔ̃.tij
pontillez;pɔ̃.ti.je
pontilliez;pɔ̃.ti.je
pontillions;pɔ̃.ti.jɔ̃
pontillons;pɔ̃.ti.jɔ̃
pontils;fuf
pontins;pɔ̃.tɛ̃
pontions;pɔ̃.tjɔ̃
pontis;pɔ̃.ti
pontivyenne;pɔ̃.ti.vjɛn
pontivyennes;pɔ̃.ti.vjɛn
ponto;pɔ̃.ta
pontois;pɔ̃.twa
ponton;pɔ̃.tɔ̃
pontonier;pɔ̃.to.nje
pontonnier;pɔ̃.tɔ.nje
pontonniers;pɔ̃.tɔ.nje
pontons;pɔ̃.tɔ̃
ponts;pɔ̃
pontualidade;pɔ̃.ta
pontus;pɔ.dɛks
pontuseau;pɔ.py.løz
ponytails;pa.li.lɔ.ʒi
pooches;pap.yl
poolâmes;pu.lam
poolât;pu.la
poolâtes;pu.lat
poolèrent;pu.lɛʁ
poolé;pu.le
poolée;pu.le
poolées;pu.le
poolés;pu.le
pool;pul
poola;pu.la
poolai;pu.le
poolaient;pu.lɛ
poolais;pu.lɛ
poolait;pu.lɛ
poolakas;pu.la
poolant;pu.lɑ̃
poolas;pu.la
poolasse;pu.las
poolassent;pu.las
poolasses;pu.las
poolassiez;pu.la.sje
poolassions;pu.la.sjɔ̃
poole;pul
poolearuline;pu.la
pooleldi;pu.la
pooleli;pu.la
poolelusalt;pu.la
poolenisti;pu.la
poolent;pul
pooler;pu.le
poolera;pu.lə.ʁa
poolerai;pu.lə.ʁe
pooleraient;pu.lə.ʁɛ
poolerais;pu.lə.ʁɛ
poolerait;pu.lə.ʁɛ
pooleras;pu.lə.ʁa
poolerez;pu.lə.ʁe
pooleriez;pu.lə.ʁje
poolerions;pu.lə.ʁjɔ̃
poolerons;pu.lə.ʁɔ̃
pooleront;pu.lə.ʁɔ̃
poolers;fi.zɔs.tiɡ.min
pooles;pul
poolez;pu.le
poolhouse;pul.aws
pooliez;pu.lje
poolions;pu.ljɔ̃
poolish;fi.ko.lo.ʒi
poolons;pu.lɔ̃
poomine;pu.la
poopers;fʁy.ɡi.vɔʁ
poopies;pap.yl
poor;pœb
poorai;pi.pɛ̃
poot;ply.tɔ.njɔm
pootles;pʁɔ.tʁyd
popâmes;pɔ.pam
popât;pɔ.pa
popâtes;pɔ.pat
popèl;pɔs.tɔ̃
popèrent;pɔ.pɛʁ
popé;pɔ.pe
popée;pɔ.pe
popées;pɔ.pe
popés;pɔ.pe
pop;pɔp
popa;pɔ.pa
popai;pɔ.pe
popaient;pɔ.pɛ
popais;pɔ.pɛ
popait;pɔ.pɛ
popane;pɔ.pan
popant;pɔ.pɑ̃
popas;pɔ.pa
popasse;pɔ.pas
popassent;pɔ.pas
popasses;pɔ.pas
popassiez;pɔ.pa.sje
popassions;pɔ.pa.sjɔ̃
popcorn;fat
pope;pɔp
popel;pɔp
popeline;pɔp.lin
popelnice;pi.vɔt.mɑ̃
popent;pɔp
poper;pɔ.pe
popera;pɔ.pə.ʁa
poperai;pɔ.pə.ʁe
poperaient;pɔ.pə.ʁɛ
poperais;pɔ.pə.ʁɛ
poperait;pɔ.pə.ʁɛ
poperas;pɔ.pə.ʁa
poperez;pɔ.pə.ʁe
poperiez;pɔ.pə.ʁje
poperions;pɔ.pə.ʁjɔ̃
poperons;pɔ.pə.ʁɔ̃
poperont;pɔ.pə.ʁɔ̃
popes;pɔp
popez;pɔ.pe
popiez;pɔ.pje
popinée;pɔ.pi.ne
popinette;pɔ.pi.nɛt
popions;pɔ.pjɔ̃
popistes;pɔ.pist
poplar;pin
poples;pɔ.dɛks
poplité;pɔp.li.te
poplitée;pɔp.li.te
popo;po.po
popoche;pɔ.pɔʃ
popoches;pɔ.pɔʃ
popolascais;pɔ.pɔ.la.skɛ
popolascaise;pɔ.pɔ.la.skɛz
popolascaises;pɔ.pɔ.la.skɛz
popolasse;paʁ.lyʁ
popolo;pɔ̃t
popons;pɔ.pɔ̃
popotâmes;pɔ.pɔ.tam
popotât;pɔ.pɔ.ta
popotâtes;pɔ.pɔ.tat
popotèrent;pɔ.pɔ.tɛʁ
popoté;pɔ.pɔ.te
popota;pɔ.pɔ.ta
popotai;pɔ.pɔ.te
popotaient;pɔ.pɔ.tɛ
popotais;pɔ.pɔ.tɛ
popotait;pɔ.pɔ.tɛ
popotant;pɔ.pɔ.tɑ̃
popotas;pɔ.pɔ.ta
popotasse;pɔ.pɔ.tas
popotassent;pɔ.pɔ.tas
popotasses;pɔ.pɔ.tas
popotassiez;pɔ.pɔ.ta.sje
popotassions;pɔ.pɔ.ta.sjɔ̃
popote;pɔ.pɔt
popotent;pɔ.pɔt
popoter;pɔ.pɔ.te
popotera;pɔ.pɔ.tə.ʁa
popoterai;pɔ.pɔ.tə.ʁe
popoteraient;pɔ.pɔ.tə.ʁɛ
popoterais;pɔ.pɔ.tə.ʁɛ
popoterait;pɔ.pɔ.tə.ʁɛ
popoteras;pɔ.pɔ.tə.ʁa
popoterez;pɔ.pɔ.tə.ʁe
popoteriez;pɔ.pɔ.tə.ʁje
popoterions;pɔ.pɔ.tə.ʁjɔ̃
popoterons;pɔ.pɔ.tə.ʁɔ̃
popoteront;pɔ.pɔ.tə.ʁɔ̃
popotes;pɔ.pɔt
popotez;pɔ.pɔ.te
popotiez;pɔ.pɔ.tje
popotin;pɔ.pɔ.tɛ̃
popotins;pɔ.pɔ.tɛ̃
popotions;pɔ.pɔ.tjɔ̃
popotons;pɔ.pɔ.tɔ̃
poppâmes;pɔ.pam
poppât;pɔ.pa
poppâtes;pɔ.pat
poppèrent;pɔ.pɛʁ
poppé;pɔ.pe
poppée;pɔ.pe
poppées;pɔ.pe
poppérien;pɔ.pe.ʁjɛ̃
poppérienne;pɔ.pe.ʁjɛn
poppériennes;pɔ.pe.ʁjɛn
poppériens;pɔ.pe.ʁjɛ̃
poppés;pɔ.pe
poppa;pɔ.pa
poppai;pɔ.pe
poppaient;pɔ.pɛ
poppais;pɔ.pɛ
poppait;pɔ.pɛ
poppant;pɔ.pɑ̃
poppas;pɔ.pa
poppasse;pɔ.pas
poppassent;pɔ.pas
poppasses;pɔ.pas
poppassiez;pɔ.pa.sje
poppassions;pɔ.pa.sjɔ̃
poppe;pɔp
poppent;pɔp
popper;pɔ.pœʁ
poppera;pɔ.pə.ʁa
popperai;pɔ.pə.ʁe
popperaient;pɔ.pə.ʁɛ
popperais;pɔ.pə.ʁɛ
popperait;pɔ.pə.ʁɛ
popperas;pɔ.pə.ʁa
popperez;pɔ.pə.ʁe
popperiez;pɔ.pə.ʁje
popperions;pɔ.pə.ʁjɔ̃
popperons;pɔ.pə.ʁɔ̃
popperont;pɔ.pə.ʁɔ̃
poppers;po.pəʁs
poppes;pɔp
poppez;pɔ.pe
poppi;pɔ.pa
poppiez;pɔ.pje
poppions;pɔ.pjɔ̃
poppons;pɔ.pɔ̃
poppycock;pa.tʁi.jɔ.ti.zə.ʁɛ
poprvé;pu.ʁav
popsicle;pɔp.si.kœl
popstar;pɔp.staʁ
popudit;pik.min
populâmes;pɔ.py.lam
populât;pɔ.py.la
populâtes;pɔ.py.lat
populèrent;pɔ.py.lɛʁ
populé;pɔ.py.le
populée;pɔ.py.le
populées;pɔ.py.le
populés;pɔ.py.le
popula;pɔ.py.la
populace;pɔ.py.las
populacerie;pɔ.py.las.ʁi
populaces;pɔ.li.ʒe.nism
populacière;pɔ.py.la.sjɛʁ
populacièrement;pi.vo.taʒ
populacières;pɔ.py.la.sjɛʁ
populacier;pɔ.py.la.sje
populage;pa.ʁi.zja.ni.zə.ʁɛ
populai;pɔ.py.le
populaient;pɔ.py.lɛ
populaire;pɔ.py.lɛʁ
populairement;pɔ.py.lɛʁ.mɑ̃
populais;pɔ.py.lɛ
populait;pɔ.py.lɛ
populant;pɔ.py.lɑ̃
popularisâmes;pɔ.py.la.ʁi.zam
popularisât;pɔ.py.la.ʁi.za
popularisâtes;pɔ.py.la.ʁi.zat
popularisèrent;pɔ.py.la.ʁi.zɛʁ
popularisé;pɔ.py.la.ʁi.ze
popularisée;pɔ.py.la.ʁi.ze
popularisées;pɔ.py.la.ʁi.ze
popularisés;pɔ.py.la.ʁi.ze
popularisa;pɔ.py.la.ʁi.za
popularisai;pɔ.py.la.ʁi.ze
popularisaient;pɔ.py.la.ʁi.zɛ
popularisais;pɔ.py.la.ʁi.zɛ
popularisait;pɔ.py.la.ʁi.zɛ
popularisant;pɔ.py.la.ʁi.zɑ̃
popularisas;pɔ.py.la.ʁi.za
popularisasse;pɔ.py.la.ʁi.zas
popularisassent;pɔ.py.la.ʁi.zas
popularisasses;pɔ.py.la.ʁi.zas
popularisassiez;pɔ.py.la.ʁi.za.sje
popularisassions;pɔ.py.la.ʁi.za.sjɔ̃
popularise;pɔ.py.la.ʁiz
popularisent;pɔ.py.la.ʁiz
popularisera;pɔ.py.la.ʁi.zə.ʁa
populariserai;pɔ.py.la.ʁi.zə.ʁe
populariseraient;pɔ.py.la.ʁi.zə.ʁɛ
populariserais;pɔ.py.la.ʁi.zə.ʁɛ
populariserait;pɔ.py.la.ʁi.zə.ʁɛ
populariseras;pɔ.py.la.ʁi.zə.ʁa
populariserez;pɔ.py.la.ʁi.zə.ʁe
populariseriez;pɔ.py.la.ʁi.zə.ʁje
populariserions;pɔ.py.la.ʁi.zə.ʁjɔ̃
populariserons;pɔ.py.la.ʁi.zə.ʁɔ̃
populariseront;pɔ.py.la.ʁi.zə.ʁɔ̃
popularises;pɔ.py.la.ʁiz
popularisez;pɔ.py.la.ʁi.ze
popularisiez;pɔ.py.la.ʁi.zje
popularisions;pɔ.py.la.ʁi.zjɔ̃
popularisons;pɔ.py.la.ʁi.zɔ̃
popularité;pɔ.py.la.ʁi.te
popularités;pɔ.py.la.ʁi.te
popularizations;pɔ.pa
populas;pɔ.py.la
populashon;plœɡ
populasse;pɔ.py.las
populassent;pɔ.py.las
populasses;pɔ.py.las
populassiez;pɔ.py.la.sje
populassions;pɔ.py.la.sjɔ̃
populata;fys.ko
populatae;fys.ko
populatam;fys.ko
populatarum;fys.ko
populatas;fys.ko
populate;fys.ko
populati;fys.ko
population;pɔ.py.la.sjɔ̃
populations;pɔ.py.la.sjɔ̃
populatis;fys.ko
populato;fys.ko
populatorum;fys.ko
populatos;fys.ko
populatum;fys.ko
populazione;pɔ̃t
popule;pɔ.pyl
populent;pɔ.pyl
populer;pɔ.py.le
populera;pɔ.py.lə.ʁa
populerai;pɔ.py.lə.ʁe
populeraient;pɔ.py.lə.ʁɛ
populerais;pɔ.py.lə.ʁɛ
populerait;pɔ.py.lə.ʁɛ
populeras;pɔ.py.lə.ʁa
populerez;pɔ.py.lə.ʁe
populeriez;pɔ.py.lə.ʁje
populerions;pɔ.py.lə.ʁjɔ̃
populerons;pɔ.py.lə.ʁɔ̃
populeront;pɔ.py.lə.ʁɔ̃
popules;pɔ.pyl
populeuse;pɔ.py.løz
populeuses;pɔ.py.løz
populeux;pɔ.py.lø
populez;pɔ.py.le
populicole;pɔ.py.li.kol
populiculteur;pɔ.py.li.kyl.tœʁ
populiculteurs;pɔ.py.li.kyl.tœʁ
populicultrice;pɔ.py.li.kyl.tʁis
populicultrices;pɔ.py.li.kyl.tʁis
populiculture;pɔ.py.li.kyl.tyʁ
populicultures;pɔ.py.li.kyl.tyʁ
populiez;pɔ.py.lje
populions;pɔ.py.ljɔ̃
populisme;pɔ.py.lism
populismes;pɔ.py.lism
populiste;pɔ.py.list
populistes;pɔ.py.list
populo;pɔ.py.lo
populons;pɔ.py.lɔ̃
populosité;pɔ.py.lo.zi.te
populu;py.pi.jɔ.me.tʁi
poquâmes;pɔ.kam
poquât;pɔ.ka
poquâtes;pɔ.kat
poquèrent;pɔ.kɛʁ
poqué;pɔ.ke
poqua;pɔ.ka
poquai;pɔ.ke
poquaient;pɔ.kɛ
poquais;pɔ.kɛ
poquait;pɔ.kɛ
poquant;pɔ.kɑ̃
poquas;pɔ.ka
poquasse;pɔ.kas
poquassent;pɔ.kas
poquasses;pɔ.kas
poquassiez;pɔ.ka.sje
poquassions;pɔ.ka.sjɔ̃
poque;pɔk
poquent;pɔk
poquer;pɔ.ke
poquera;pɔ.kə.ʁa
poquerai;pɔ.kə.ʁe
poqueraient;pɔ.kə.ʁɛ
poquerais;pɔ.kə.ʁɛ
poquerait;pɔ.kə.ʁɛ
poqueras;pɔ.kə.ʁa
poquerez;pɔ.kə.ʁe
poqueriez;pɔ.kə.ʁje
poquerions;pɔ.kə.ʁjɔ̃
poquerons;pɔ.kə.ʁɔ̃
poqueront;pɔ.kə.ʁɔ̃
poques;pɔk
poquet;pɔ.kɛ
poquets;pɔ.li.ʒe.nism
poquez;pɔ.ke
poquiez;pɔ.kje
poquions;pɔ.kjɔ̃
poquons;pɔ.kɔ̃
porée;pɔ.ʁe
porées;pɔ.ʁe
porada;pɔ.lja.dɛl.fin
poradce;pi.pe.ʁad
porazit;pʁek.ʁe.tjɛn
porc;pɔ̃p
porca;pɔ.dɛks
porcarum;pɔʁkas
porcas;pɔʁkas
porcelaine;pɔʁ.sə.lɛn
porcelaines;pɔʁ.sə.lɛn
porcelainière;pɔʁ.sə.lɛ.njɛʁ
porcelainières;pɔʁ.sə.lɛ.njɛʁ
porcelainier;pɔ̃k.tɥɛl
porcelainiers;pɔʁ.sə.lɛ.nje
porcelanique;pɔʁ.sə.la.nik
porcelanite;pɔʁ.sə.la.nit
porcelano;pɔ.py.lo
porcelet;pɔʁ.sə.lɛ
porcelets;pɔʁ.sə.lɛ
porcella;pɔ.dɛks
porcellae;pɔʁkas
porcellam;pɔʁkas
porcellane;pɔʁ.sɛ.lan
porcellanite;pɔʁ.sɛ.la.nit
porcellarum;pɔʁkas
porcellas;pɔʁkas
porcellis;pɔʁkas
porcentaje;pʁi.mɔʁ.djal
porchère;pɔʁ.ʃɛʁ
porchères;pɔʁ.ʃɛʁ
porche;pɔʁʃ
porcher;pɔʁ.ʃe
porcherie;pɔʁ.ʃə.ʁi
porcheries;pɔʁ.ʃə.ʁi
porches;pɔʁʃ
porchetta;pɔʁ.kɛ.ta
porchin;pɔʁ.ʃɛ̃
porci;pʁɔ.fe.sɔ.ʁɛs
porcifs;pɔʁ.sif
porcin;pɔʁ.sɛ̃
porcina;pɔ.dɛks
porcinae;pɔʁkas
porcinam;pɔʁkas
porcinarum;pɔʁkas
porcinas;pɔʁkas
porcine;pɔʁ.sin
porcines;pɔʁ.sɛ̃
porcinet;pa.ʁɔ.dɔ̃.tɔ.lɔ.ʒi
porcinis;pɔʁkas
porcins;pɔʁ.sɛ̃
porciono;pɔ.py.lo
porcis;pɔʁkas
porco;pɔ̃t
porcs;pɔʁ
porcula;pɔ.dɛks
porculae;pɔʁkas
porculam;pɔʁkas
porcularum;pɔʁkas
porculas;pɔʁkas
porculis;pɔʁkas
porcus;pɔ.dɛks
pordisto;fʁo.da
pordo;pɔ.py.lo
pore;pɔʁ.sin
porem;pɑ̃.te
pores;pɔʁ
poreuse;pɔ.ʁøz
poreuses;pɔ.ʁøz
poreux;pɔ.ʁø
porfiar;pɔ̃.ta
porfiro;pɔ.py.lo
porgador;pɔs.tɔ̃
porgand;pu.la
porilaud;pu.la
porion;pɔ.ʁø
porions;pɔ.li.ʒe.nism
poristique;pɔ.ʁis.tik
porkespino;fʁo.da
porkkana;pwɑ
porko;pɔ.py.lo
pornicais;pɔʁ.ni.kɛ
pornicaise;pɔʁ.ni.kɛz
pornicaises;pɔʁ.ni.kɛz
pornifiâmes;pɔʁ.ni.fi.jam
pornifiât;pɔʁ.ni.fi.ja
pornifiâtes;pɔʁ.ni.fi.jat
pornifièrent;pɔʁ.ni.fi.jɛʁ
pornifié;pɔʁ.ni.fi.je
pornifiée;pɔʁ.ni.fi.je
pornifiées;pɔʁ.ni.fi.je
pornifiés;pɔʁ.ni.fi.je
pornifia;pɔʁ.ni.fi.ja
pornifiai;pɔʁ.ni.fi.je
pornifiaient;pɔʁ.ni.fi.jɛ
pornifiais;pɔʁ.ni.fi.jɛ
pornifiait;pɔʁ.ni.fi.jɛ
pornifiant;pɔʁ.ni.fi.jɑ̃
pornifias;pɔʁ.ni.fi.ja
pornifiasse;pɔʁ.ni.fi.jas
pornifiassent;pɔʁ.ni.fi.jas
pornifiasses;pɔʁ.ni.fi.jas
pornifiassiez;pɔʁ.ni.fi.ja.sje
pornifiassions;pɔʁ.ni.fi.ja.sjɔ̃
pornification;pɔʁ.ni.fi.ka.sjɔ̃
pornifie;pɔʁ.ni.fi
pornifient;pɔʁ.ni.fi
pornifier;pɔʁ.ni.fje
pornifiera;pɔʁ.ni.fi.ʁa
pornifierai;pɔʁ.ni.fi.ʁe
pornifieraient;pɔʁ.ni.fi.ʁɛ
pornifierais;pɔʁ.ni.fi.ʁɛ
pornifierait;pɔʁ.ni.fi.ʁɛ
pornifieras;pɔʁ.ni.fi.ʁa
pornifierez;pɔʁ.ni.fi.ʁe
pornifieriez;pɔʁ.ni.fi.ʁje
pornifierions;pɔʁ.ni.fi.ʁjɔ̃
pornifierons;pɔʁ.ni.fi.ʁɔ̃
pornifieront;pɔʁ.ni.fi.ʁɔ̃
pornifies;pɔʁ.ni.fi
pornifiez;pɔʁ.ni.fi.je
pornifiiez;pɔʁ.ni.fi.i.je
pornifiions;pɔʁ.ni.fi.i.jɔ̃
pornifions;pɔʁ.ni.fi.jɔ̃
porno;pɔʁ.no
pornocrate;pɔʁ.nɔk.ʁat
pornocrates;pɔ.li.ʒe.nism
pornocratie;pɔʁ.nɔk.ʁa.si
pornocraties;pɔ.li.ʒe.nism
pornocratique;pɔʁ.nɔk.ʁa.tik
pornografio;pɔ.py.lo
pornografo;pɔ.py.lo
pornographe;pɔʁ.nɔ.ɡʁaf
pornographie;pɔʁ.no.ɡʁa.fi
pornographies;pɔʁ.nɔ.ɡʁa.fi
pornographique;pɔʁ.nɔ.ɡʁa.fik
pornographiques;pɔʁ.nɔ.ɡʁa.fik
pornographisâmes;pɔʁ.no.ɡʁa.fi.zam
pornographisât;pɔʁ.no.ɡʁa.fi.za
pornographisâtes;pɔʁ.no.ɡʁa.fi.zat
pornographisèrent;pɔʁ.no.ɡʁa.fi.zɛʁ
pornographisé;pɔʁ.no.ɡʁa.fi.ze
