Eastfarnhamien;ist.faʁ.na.mjɛ̃
enfermeront;ɑ̃.fɛʁ.mə.ʁɔ̃
enfermes;ɑ̃.fɛʁm
enfermez;ɑ̃.fɛʁ.me
enfermiez;ɑ̃.fɛʁ.mje
enfermions;ɑ̃.fɛʁ.mjɔ̃
enfermons;ɑ̃.fɛʁ.mɔ̃
enferrâmes;ɑ̃.fɛ.ʁam
enferrât;ɑ̃.fɛ.ʁa
enferrâtes;ɑ̃.fɛ.ʁat
enferrèrent;ɑ̃.fɛ.ʁɛʁ
enferré;ɑ̃.fɛ.ʁe
enferrée;ɑ̃.fɛ.ʁe
enferrées;ɑ̃.fɛ.ʁe
enferrés;ɑ̃.fɛ.ʁe
enferra;ɑ̃.fɛ.ʁa
enferrai;ɑ̃.fɛ.ʁe
enferraient;ɑ̃.fɛ.ʁɛ
enferrais;ɑ̃.fɛ.ʁɛ
enferrait;ɑ̃.fɛ.ʁɛ
enferrant;ɑ̃.fɛ.ʁɑ̃
enferras;ɑ̃.fɛ.ʁa
enferrasse;ɑ̃.fɛ.ʁas
enferrassent;ɑ̃.fɛ.ʁas
enferrasses;ɑ̃.fɛ.ʁas
enferrassiez;ɑ̃.fɛ.ʁa.sje
enferrassions;ɑ̃.fɛ.ʁa.sjɔ̃
enferre;ɑ̃.fɛʁ
enferrent;ɑ̃.fɛʁ
enferrer;ɑ̃.fɛ.ʁe
enferrera;ɑ̃.fɛ.ʁə.ʁa
enferrerai;ɑ̃.fɛ.ʁə.ʁe
enferreraient;ɑ̃.fɛ.ʁə.ʁɛ
enferrerais;ɑ̃.fɛ.ʁə.ʁɛ
enferrerait;ɑ̃.fɛ.ʁə.ʁɛ
enferreras;ɑ̃.fɛ.ʁə.ʁa
enferrerez;ɑ̃.fɛ.ʁə.ʁe
enferreriez;ɑ̃.fɛ.ʁə.ʁje
enferrerions;ɑ̃.fɛ.ʁə.ʁjɔ̃
enferrerons;ɑ̃.fɛ.ʁə.ʁɔ̃
enferreront;ɑ̃.fɛ.ʁə.ʁɔ̃
enferres;ɑ̃.fɛʁ
enferrez;ɑ̃.fɛ.ʁe
enferriez;ɑ̃.fɛ.ʁje
enferrions;ɑ̃.fɛ.ʁjɔ̃
enferrons;ɑ̃.fɛ.ʁɔ̃
enfers;ɑ̃.fɛʁ
enfeu;ɑ̃.fø
enfeuillâmes;ɑ̃.fœ.jam
enfeuillât;ɑ̃.fœ.ja
enfeuillâtes;ɑ̃.fœ.jat
enfeuillèrent;ɑ̃.fœ.jɛʁ
enfeuillé;ɑ̃.fœ.je
enfeuillée;ɑ̃.fœ.je
enfeuillées;ɑ̃.fœ.je
enfeuillés;ɑ̃.fœ.je
enfeuilla;ɑ̃.fœ.ja
enfeuillagèrent;ɑ̃.fœ.ja.ʒɛʁ
enfeuillagé;ɑ̃.fœ.ja.ʒe
enfeuillagée;ɑ̃.fœ.ja.ʒe
enfeuillagées;ɑ̃.fœ.ja.ʒe
enfeuillagés;ɑ̃.fœ.ja.ʒe
enfeuillageâmes;ɑ̃.fœ.ja.ʒam
enfeuillageât;ɑ̃.fœ.ja.ʒa
enfeuillageâtes;ɑ̃.fœ.ja.ʒat
enfeuillage;ɑ̃.fœ.jaʒ
enfeuillagea;ɑ̃.fœ.ja.ʒa
enfeuillageai;ɑ̃.fœ.ja.ʒe
enfeuillageaient;ɑ̃.fœ.ja.ʒɛ
enfeuillageais;ɑ̃.fœ.ja.ʒɛ
enfeuillageait;ɑ̃.fœ.ja.ʒɛ
enfeuillageant;ɑ̃.fœ.ja.ʒɑ̃
enfeuillageas;ɑ̃.fœ.ja.ʒa
enfeuillageasse;ɑ̃.fœ.ja.ʒas
enfeuillageassent;ɑ̃.fœ.ja.ʒas
enfeuillageasses;ɑ̃.fœ.ja.ʒas
enfeuillageassiez;ɑ̃.fœ.ja.ʒa.sje
enfeuillageassions;ɑ̃.fœ.ja.ʒa.sjɔ̃
enfeuillagent;ɑ̃.fœ.jaʒ
enfeuillageons;ɑ̃.fœ.ja.ʒɔ̃
enfeuillager;ɑ̃.fœ.ja.ʒe
enfeuillagera;ɑ̃.fœ.ja.ʒə.ʁa
enfeuillagerai;ɑ̃.fœ.ja.ʒə.ʁe
enfeuillageraient;ɑ̃.fœ.ja.ʒə.ʁɛ
enfeuillagerais;ɑ̃.fœ.ja.ʒə.ʁɛ
enfeuillagerait;ɑ̃.fœ.ja.ʒə.ʁɛ
enfeuillageras;ɑ̃.fœ.ja.ʒə.ʁa
enfeuillagerez;ɑ̃.fœ.ja.ʒə.ʁe
enfeuillageriez;ɑ̃.fœ.ja.ʒə.ʁje
enfeuillagerions;ɑ̃.fœ.ja.ʒə.ʁjɔ̃
enfeuillagerons;ɑ̃.fœ.ja.ʒə.ʁɔ̃
enfeuillageront;ɑ̃.fœ.ja.ʒə.ʁɔ̃
enfeuillages;ɑ̃.fœ.jaʒ
enfeuillagez;ɑ̃.fœ.ja.ʒe
enfeuillagiez;ɑ̃.fœ.ja.ʒje
enfeuillagions;ɑ̃.fœ.ja.ʒjɔ̃
enfeuillai;ɑ̃.fœ.je
enfeuillaient;ɑ̃.fœ.jɛ
enfeuillais;ɑ̃.fœ.jɛ
enfeuillait;ɑ̃.fœ.jɛ
enfeuillant;ɑ̃.fœ.jɑ̃
enfeuillas;ɑ̃.fœ.ja
enfeuillasse;ɑ̃.fœ.jas
enfeuillassent;ɑ̃.fœ.jas
enfeuillasses;ɑ̃.fœ.jas
enfeuillassiez;ɑ̃.fœ.ja.sje
enfeuillassions;ɑ̃.fœ.ja.sjɔ̃
enfeuille;ɑ̃.fœj
enfeuillent;ɑ̃.fœj
enfeuiller;ɑ̃.fœ.je
enfeuillera;ɑ̃.fœ.jə.ʁa
enfeuillerai;ɑ̃.fœ.jə.ʁe
enfeuilleraient;ɑ̃.fœ.jə.ʁɛ
enfeuillerais;ɑ̃.fœ.jə.ʁɛ
enfeuillerait;ɑ̃.fœ.jə.ʁɛ
enfeuilleras;ɑ̃.fœ.jə.ʁa
enfeuillerez;ɑ̃.fœ.jə.ʁe
enfeuilleriez;ɑ̃.fœ.jə.ʁje
enfeuillerions;ɑ̃.fœ.jə.ʁjɔ̃
enfeuillerons;ɑ̃.fœ.jə.ʁɔ̃
enfeuilleront;ɑ̃.fœ.jə.ʁɔ̃
enfeuilles;ɑ̃.fœj
enfeuillez;ɑ̃.fœ.je
enfeuilliez;ɑ̃.fœj.je
enfeuillions;ɑ̃.fœj.jɔ̃
enfeuillons;ɑ̃.fœ.jɔ̃
enfeux;ɑ̃.fø
enfièvre;ɑ̃.fjɛvʁ
enfièvremens;ɑ̃.fjɛ.vʁə.mɑ̃
enfièvrements;ɑ̃.fjɛ.vʁə.mɑ̃
enfièvrent;ɑ̃.fjɛvʁ
enfièvrera;ɑ̃.fjɛ.vʁə.ʁa
enfièvrerai;ɑ̃.fjɛ.vʁə.ʁe
enfièvreraient;ɑ̃.fjɛ.vʁə.ʁɛ
enfièvrerais;ɑ̃.fjɛ.vʁə.ʁɛ
enfièvrerait;ɑ̃.fjɛ.vʁə.ʁɛ
enfièvreras;ɑ̃.fjɛ.vʁə.ʁa
enfièvrerez;ɑ̃.fjɛ.vʁə.ʁe
enfièvreriez;ɑ̃.fjɛ.vʁə.ʁje
enfièvrerions;ɑ̃.fjɛ.vʁə.ʁjɔ̃
enfièvrerons;ɑ̃.fjɛ.vʁə.ʁɔ̃
enfièvreront;ɑ̃.fjɛ.vʁə.ʁɔ̃
enfièvres;ɑ̃.fjɛvʁ
enfiévrâmes;ɑ̃.fje.vʁam
enfiévrât;ɑ̃.fje.vʁa
enfiévrâtes;ɑ̃.fje.vʁat
enfiévrèrent;ɑ̃.fje.vʁɛʁ
enfiévré;ɑ̃.fje.vʁe
enfiévrée;ɑ̃.fje.vʁe
enfiévrées;ɑ̃.fje.vʁe
enfiévrés;ɑ̃.fje.vʁe
enfiévra;ɑ̃.fje.vʁa
enfiévrai;ɑ̃.fje.vʁe
enfiévraient;ɑ̃.fje.vʁɛ
enfiévrais;ɑ̃.fje.vʁɛ
enfiévrait;ɑ̃.fje.vʁɛ
enfiévrant;ɑ̃.fje.vʁɑ̃
enfiévras;ɑ̃.fje.vʁa
enfiévrasse;ɑ̃.fje.vʁas
enfiévrassent;ɑ̃.fje.vʁas
enfiévrasses;ɑ̃.fje.vʁas
enfiévrassiez;ɑ̃.fje.vʁa.sje
enfiévrassions;ɑ̃.fje.vʁa.sjɔ̃
enfiévrer;ɑ̃.fje.vʁe
enfiévrera;ɑ̃.fjɛ.vʁə.ʁa
enfiévrerai;ɑ̃.fjɛ.vʁə.ʁe
enfiévreraient;ɑ̃.fjɛ.vʁə.ʁɛ
enfiévrerais;ɑ̃.fjɛ.vʁə.ʁɛ
enfiévrerait;ɑ̃.fjɛ.vʁə.ʁɛ
enfiévreras;ɑ̃.fjɛ.vʁə.ʁa
enfiévrerez;ɑ̃.fjɛ.vʁə.ʁe
enfiévreriez;ɑ̃.fjɛ.vʁə.ʁje
enfiévrerions;ɑ̃.fjɛ.vʁə.ʁjɔ̃
enfiévrerons;ɑ̃.fjɛ.vʁə.ʁɔ̃
enfiévreront;ɑ̃.fjɛ.vʁə.ʁɔ̃
enfiévrez;ɑ̃.fje.vʁe
enfiévriez;ɑ̃.fje.vʁi.je
enfiévrions;ɑ̃.fje.vʁi.jɔ̃
enfiévrons;ɑ̃.fje.vʁɔ̃
enficèle;ɑ̃.fi.sɛl
enficèlent;ɑ̃.fi.sɛl
enficèlera;ɑ̃.fi.sɛ.lə.ʁa
enficèlerai;ɑ̃.fi.sɛ.lə.ʁe
enficèleraient;ɑ̃.fi.sɛ.lə.ʁɛ
enficèlerais;ɑ̃.fi.sɛ.lə.ʁɛ
enficèlerait;ɑ̃.fi.sɛ.lə.ʁɛ
enficèleras;ɑ̃.fi.sɛ.lə.ʁa
enficèlerez;ɑ̃.fi.sɛ.lə.ʁe
enficèleriez;ɑ̃.fi.sɛ.lə.ʁje
enficèlerions;ɑ̃.fi.sɛ.lə.ʁjɔ̃
enficèlerons;ɑ̃.fi.sɛ.lə.ʁɔ̃
enficèleront;ɑ̃.fi.sɛ.lə.ʁɔ̃
enficèles;ɑ̃.fi.sɛl
enficelâmes;ɑ̃.fi.sə.lam
enficelât;ɑ̃.fi.sə.la
enficelâtes;ɑ̃.fi.sə.lat
enficelèrent;ɑ̃.fi.sə.lɛʁ
enficelé;ɑ̃.fi.sə.le
enficelée;ɑ̃.fi.sə.le
enficelées;ɑ̃.fi.sə.le
enficelés;ɑ̃.fi.sə.le
enficela;ɑ̃.fi.sə.la
enficelai;ɑ̃.fi.sə.le
enficelaient;ɑ̃.fi.sə.lɛ
enficelais;ɑ̃.fi.sə.lɛ
enficelait;ɑ̃.fi.sə.lɛ
enficelant;ɑ̃.fi.sə.lɑ̃
enficelas;ɑ̃.fi.sə.la
enficelasse;ɑ̃.fi.sə.las
enficelassent;ɑ̃.fi.sə.las
enficelasses;ɑ̃.fi.sə.las
enficelassiez;ɑ̃.fi.sə.la.sje
enficelassions;ɑ̃.fi.sə.la.sjɔ̃
enficeler;ɑ̃.fi.sə.le
enficelez;ɑ̃.fi.sə.le
enficeliez;ɑ̃.fi.sə.lje
enficelions;ɑ̃.fi.sə.ljɔ̃
enficelle;ɑ̃.fi.sɛl
enficellent;ɑ̃.fi.sɛl
enficellera;ɑ̃.fi.sɛ.lə.ʁa
enficellerai;ɑ̃.fi.sɛ.lə.ʁe
enficelleraient;ɑ̃.fi.sɛ.lə.ʁɛ
enficellerais;ɑ̃.fi.sɛ.lə.ʁɛ
enficellerait;ɑ̃.fi.sɛ.lə.ʁɛ
enficelleras;ɑ̃.fi.sɛ.lə.ʁa
enficellerez;ɑ̃.fi.sɛ.lə.ʁe
enficelleriez;ɑ̃.fi.sɛ.lə.ʁje
enficellerions;ɑ̃.fi.sɛ.lə.ʁjɔ̃
enficellerons;ɑ̃.fi.sɛ.lə.ʁɔ̃
enficelleront;ɑ̃.fi.sɛ.lə.ʁɔ̃
enficelles;ɑ̃.fi.sɛl
enficelons;ɑ̃.fi.sə.lɔ̃
enfichâmes;ɑ̃.fi.ʃam
enfichât;ɑ̃.fi.ʃa
enfichâtes;ɑ̃.fi.ʃat
enfichèrent;ɑ̃.fi.ʃɛʁ
enfiché;ɑ̃.fi.ʃe
enfichée;ɑ̃.fi.ʃe
enfichées;ɑ̃.fi.ʃe
enfichés;ɑ̃.fi.ʃe
enficha;ɑ̃.fi.ʃa
enfichable;ɑ̃.fi.ʃabl
enfichai;ɑ̃.fi.ʃe
enfichaient;ɑ̃.fi.ʃɛ
enfichais;ɑ̃.fi.ʃɛ
enfichait;ɑ̃.fi.ʃɛ
enfichant;ɑ̃.fi.ʃɑ̃
enfichas;ɑ̃.fi.ʃa
enfichasse;ɑ̃.fi.ʃas
enfichassent;ɑ̃.fi.ʃas
enfichasses;ɑ̃.fi.ʃas
enfichassiez;ɑ̃.fi.ʃa.sje
enfichassions;ɑ̃.fi.ʃa.sjɔ̃
enfiche;ɑ̃.fiʃ
enfichent;ɑ̃.fiʃ
enficher;ɑ̃.fi.ʃe
enfichera;ɑ̃.fi.ʃə.ʁa
enficherai;ɑ̃.fi.ʃə.ʁe
enficheraient;ɑ̃.fi.ʃə.ʁɛ
enficherais;ɑ̃.fi.ʃə.ʁɛ
enficherait;ɑ̃.fi.ʃə.ʁɛ
enficheras;ɑ̃.fi.ʃə.ʁa
enficherez;ɑ̃.fi.ʃə.ʁe
enficheriez;ɑ̃.fi.ʃə.ʁje
enficherions;ɑ̃.fi.ʃə.ʁjɔ̃
enficherons;ɑ̃.fi.ʃə.ʁɔ̃
enficheront;ɑ̃.fi.ʃə.ʁɔ̃
enfiches;ɑ̃.fiʃ
enfichez;ɑ̃.fi.ʃe
enfichiez;ɑ̃.fi.ʃje
enfichions;ɑ̃.fi.ʃjɔ̃
enfichons;ɑ̃.fi.ʃɔ̃
enfiellâmes;ɑ̃.fjɛ.lam
enfiellât;ɑ̃.fjɛ.la
enfiellâtes;ɑ̃.fjɛ.lat
enfiellèrent;ɑ̃.fjɛ.lɛʁ
enfiellé;ɑ̃.fjɛ.le
enfiellée;ɑ̃.fjɛ.le
enfiellées;ɑ̃.fjɛ.le
enfiellés;ɑ̃.fjɛ.le
enfiella;ɑ̃.fjɛ.la
enfiellai;ɑ̃.fjɛ.le
enfiellaient;ɑ̃.fjɛ.lɛ
enfiellais;ɑ̃.fjɛ.lɛ
enfiellait;ɑ̃.fjɛ.lɛ
enfiellant;ɑ̃.fjɛ.lɑ̃
enfiellas;ɑ̃.fjɛ.la
enfiellasse;ɑ̃.fjɛ.las
enfiellassent;ɑ̃.fjɛ.las
enfiellasses;ɑ̃.fjɛ.las
enfiellassiez;ɑ̃.fjɛ.la.sje
enfiellassions;ɑ̃.fjɛ.la.sjɔ̃
enfielle;ɑ̃.fjɛl
enfiellent;ɑ̃.fjɛl
enfieller;ɑ̃.fjɛ.le
enfiellera;ɑ̃.fjɛ.lə.ʁa
enfiellerai;ɑ̃.fjɛ.lə.ʁe
enfielleraient;ɑ̃.fjɛ.lə.ʁɛ
enfiellerais;ɑ̃.fjɛ.lə.ʁɛ
enfiellerait;ɑ̃.fjɛ.lə.ʁɛ
enfielleras;ɑ̃.fjɛ.lə.ʁa
enfiellerez;ɑ̃.fjɛ.lə.ʁe
enfielleriez;ɑ̃.fjɛ.lə.ʁje
enfiellerions;ɑ̃.fjɛ.lə.ʁjɔ̃
enfiellerons;ɑ̃.fjɛ.lə.ʁɔ̃
enfielleront;ɑ̃.fjɛ.lə.ʁɔ̃
enfielles;ɑ̃.fjɛl
enfiellez;ɑ̃.fjɛ.le
enfielliez;ɑ̃.fjɛ.lje
enfiellions;ɑ̃.fjɛ.ljɔ̃
enfiellons;ɑ̃.fjɛ.lɔ̃
enfientâmes;ɑ̃.fjɑ̃.tam
enfientât;ɑ̃.fjɑ̃.ta
enfientâtes;ɑ̃.fjɑ̃.tat
enfientèrent;ɑ̃.fjɑ̃.tɛʁ
enfienté;ɑ̃.fjɑ̃.te
enfientée;ɑ̃.fjɑ̃.te
enfientées;ɑ̃.fjɑ̃.te
enfientés;ɑ̃.fjɑ̃.te
enfienta;ɑ̃.fjɑ̃.ta
enfientai;ɑ̃.fjɑ̃.te
enfientaient;ɑ̃.fjɑ̃.tɛ
enfientais;ɑ̃.fjɑ̃.tɛ
enfientait;ɑ̃.fjɑ̃.tɛ
enfientant;ɑ̃.fjɑ̃.tɑ̃
enfientas;ɑ̃.fjɑ̃.ta
enfientasse;ɑ̃.fjɑ̃.tas
enfientassent;ɑ̃.fjɑ̃.tas
enfientasses;ɑ̃.fjɑ̃.tas
enfientassiez;ɑ̃.fjɑ̃.ta.sje
enfientassions;ɑ̃.fjɑ̃.ta.sjɔ̃
enfiente;ɑ̃.fjɑ̃t
enfientent;ɑ̃.fjɑ̃t
enfienter;ɑ̃.fjɑ̃.te
enfientera;ɑ̃.fjɑ̃.tə.ʁa
enfienterai;ɑ̃.fjɑ̃.tə.ʁe
enfienteraient;ɑ̃.fjɑ̃.tə.ʁɛ
enfienterais;ɑ̃.fjɑ̃.tə.ʁɛ
enfienterait;ɑ̃.fjɑ̃.tə.ʁɛ
enfienteras;ɑ̃.fjɑ̃.tə.ʁa
enfienterez;ɑ̃.fjɑ̃.tə.ʁe
enfienteriez;ɑ̃.fjɑ̃.tə.ʁje
enfienterions;ɑ̃.fjɑ̃.tə.ʁjɔ̃
enfienterons;ɑ̃.fjɑ̃.tə.ʁɔ̃
enfienteront;ɑ̃.fjɑ̃.tə.ʁɔ̃
enfientes;ɑ̃.fjɑ̃t
enfientez;ɑ̃.fjɑ̃.te
enfientiez;ɑ̃.fjɑ̃.tje
enfientions;ɑ̃.fjɑ̃.tjɔ̃
enfientons;ɑ̃.fjɑ̃.tɔ̃
enfiferouâpâmes;ɑ̃.fif.ʁwɑ.pam
enfiferouâpât;ɑ̃.fif.ʁwɑ.pa
enfiferouâpâtes;ɑ̃.fif.ʁwɑ.pat
enfiferouâpèrent;ɑ̃.fif.ʁwɑ.pɛʁ
enfiferouâpé;ɑ̃.fif.ʁwɑ.pe
enfiferouâpée;ɑ̃.fif.ʁwɑ.pe
enfiferouâpées;ɑ̃.fif.ʁwɑ.pe
enfiferouâpés;ɑ̃.fif.ʁwɑ.pe
enfiferouâpa;ɑ̃.fif.ʁwɑ.pa
enfiferouâpai;ɑ̃.fif.ʁwɑ.pe
enfiferouâpaient;ɑ̃.fif.ʁwɑ.pɛ
enfiferouâpais;ɑ̃.fif.ʁwɑ.pɛ
enfiferouâpait;ɑ̃.fif.ʁwɑ.pɛ
enfiferouâpant;ɑ̃.fif.ʁwɑ.pɑ̃
enfiferouâpas;ɑ̃.fif.ʁwɑ.pa
enfiferouâpasse;ɑ̃.fif.ʁwɑ.pas
enfiferouâpassent;ɑ̃.fif.ʁwɑ.pas
enfiferouâpasses;ɑ̃.fif.ʁwɑ.pas
enfiferouâpassiez;ɑ̃.fif.ʁwɑ.pa.sje
enfiferouâpassions;ɑ̃.fif.ʁwɑ.pa.sjɔ̃
enfiferouâpe;ɑ̃.fif.ʁwɑp
enfiferouâpent;ɑ̃.fif.ʁwɑp
enfiferouâper;ɑ̃.fif.ʁwɑ.pe
enfiferouâpera;ɑ̃.fif.ʁwɑ.pə.ʁa
enfiferouâperai;ɑ̃.fif.ʁwɑ.pə.ʁe
enfiferouâperaient;ɑ̃.fif.ʁwɑ.pə.ʁɛ
enfiferouâperais;ɑ̃.fif.ʁwɑ.pə.ʁɛ
enfiferouâperait;ɑ̃.fif.ʁwɑ.pə.ʁɛ
enfiferouâperas;ɑ̃.fif.ʁwɑ.pə.ʁa
enfiferouâperez;ɑ̃.fif.ʁwɑ.pə.ʁe
enfiferouâperiez;ɑ̃.fif.ʁwɑ.pə.ʁje
enfiferouâperions;ɑ̃.fif.ʁwɑ.pə.ʁjɔ̃
enfiferouâperons;ɑ̃.fif.ʁwɑ.pə.ʁɔ̃
enfiferouâperont;ɑ̃.fif.ʁwɑ.pə.ʁɔ̃
enfiferouâpes;ɑ̃.fif.ʁwɑp
enfiferouâpez;ɑ̃.fif.ʁwɑ.pe
enfiferouâpiez;ɑ̃.fif.ʁwɑ.pje
enfiferouâpions;ɑ̃.fif.ʁwɑ.pjɔ̃
enfiferouâpons;ɑ̃.fif.ʁwɑ.pɔ̃
enfifrâmes;ɑ̃.fi.fʁam
enfifrât;ɑ̃.fi.fʁa
enfifrâtes;ɑ̃.fi.fʁat
enfifrèrent;ɑ̃.fi.fʁɛʁ
enfifré;ɑ̃.fi.fʁe
enfifrée;ɑ̃.fi.fʁe
enfifrées;ɑ̃.fi.fʁe
enfifrés;ɑ̃.fi.fʁe
enfifra;ɑ̃.fi.fʁa
enfifrai;ɑ̃.fi.fʁe
enfifraient;ɑ̃.fi.fʁɛ
enfifrais;ɑ̃.fi.fʁɛ
enfifrait;ɑ̃.fi.fʁɛ
enfifrant;ɑ̃.fi.fʁɑ̃
enfifras;ɑ̃.fi.fʁa
enfifrasse;ɑ̃.fi.fʁas
enfifrassent;ɑ̃.fi.fʁas
enfifrasses;ɑ̃.fi.fʁas
enfifrassiez;ɑ̃.fi.fʁa.sje
enfifrassions;ɑ̃.fi.fʁa.sjɔ̃
enfifre;ɑ̃.fifʁ
enfifrent;ɑ̃.fifʁ
enfifrer;ɑ̃.fi.fʁe
enfifrera;ɑ̃.fi.fʁə.ʁa
enfifrerai;ɑ̃.fi.fʁə.ʁe
enfifreraient;ɑ̃.fi.fʁə.ʁɛ
enfifrerais;ɑ̃.fi.fʁə.ʁɛ
enfifrerait;ɑ̃.fi.fʁə.ʁɛ
enfifreras;ɑ̃.fi.fʁə.ʁa
enfifrerez;ɑ̃.fi.fʁə.ʁe
enfifreriez;ɑ̃.fi.fʁə.ʁje
enfifrerions;ɑ̃.fi.fʁə.ʁjɔ̃
enfifrerons;ɑ̃.fi.fʁə.ʁɔ̃
enfifreront;ɑ̃.fi.fʁə.ʁɔ̃
enfifres;ɑ̃.fifʁ
enfifrez;ɑ̃.fi.fʁe
enfifriez;ɑ̃.fi.fʁi.je
enfifrions;ɑ̃.fi.fʁi.jɔ̃
enfifrons;ɑ̃.fi.fʁɔ̃
enfilâmes;ɑ̃.fi.lam
enfilât;ɑ̃.fi.la
enfilâtes;ɑ̃.fi.lat
enfilèrent;ɑ̃.fi.lɛʁ
enfilé;ɑ̃.fi.le
enfilée;ɑ̃.fi.le
enfilées;ɑ̃.fi.le
enfilés;ɑ̃.fi.le
enfila;ɑ̃.fi.la
enfilable;ɑ̃.fi.labl
enfilables;ɑ̃.fi.labl
enfilade;ɑ̃.fi.lad
enfilades;ɑ̃.fi.lad
enfilage;ɑ̃.fi.laʒ
enfilai;ɑ̃.fi.le
enfilaient;ɑ̃.fi.lɛ
enfilais;ɑ̃.fi.lɛ
enfilait;ɑ̃.fi.lɛ
enfilant;ɑ̃.fi.lɑ̃
enfilas;ɑ̃.fi.la
enfilasse;ɑ̃.fi.las
enfilassent;ɑ̃.fi.las
enfilasses;ɑ̃.fi.las
enfilassiez;ɑ̃.fi.la.sje
enfilassions;ɑ̃.fi.la.sjɔ̃
enfile;ɑ̃.fil
enfilent;ɑ̃.fil
enfiler;ɑ̃.fi.le
enfilera;ɑ̃.fi.lə.ʁa
enfilerai;ɑ̃.fi.lə.ʁe
enfileraient;ɑ̃.fi.lə.ʁɛ
enfilerais;ɑ̃.fi.lə.ʁɛ
enfilerait;ɑ̃.fi.lə.ʁɛ
enfileras;ɑ̃.fi.lə.ʁa
enfilerez;ɑ̃.fi.lə.ʁe
enfileriez;ɑ̃.fi.lə.ʁje
enfilerions;ɑ̃.fi.lə.ʁjɔ̃
enfilerons;ɑ̃.fi.lə.ʁɔ̃
enfileront;ɑ̃.fi.lə.ʁɔ̃
enfiles;ɑ̃.fil
enfileuse;ɑ̃.fi.løz
enfileuses;ɑ̃.fi.løz
enfilez;ɑ̃.fi.le
enfiliez;ɑ̃.fi.lje
enfilions;ɑ̃.fi.ljɔ̃
enfilons;ɑ̃.fi.lɔ̃
enfin;ɑ̃.fɛ̃
enfiottâmes;ɑ̃.fjɔ.fam
enfiottât;ɑ̃.fjɔ.fa
enfiottâtes;ɑ̃.fjɔ.fat
enfiottèrent;ɑ̃.fjɔ.fɛʁ
enfiotté;ɑ̃.fjɔ.fe
enfiottée;ɑ̃.fjɔ.fe
enfiottées;ɑ̃.fjɔ.fe
enfiottés;ɑ̃.fjɔ.fe
enfiotta;ɑ̃.fjɔ.fa
enfiottai;ɑ̃.fjɔ.fe
enfiottaient;ɑ̃.fjɔ.fɛ
enfiottais;ɑ̃.fjɔ.fɛ
enfiottait;ɑ̃.fjɔ.fɛ
enfiottant;ɑ̃.fjɔ.fɑ̃
enfiottas;ɑ̃.fjɔ.fa
enfiottasse;ɑ̃.fjɔ.fas
enfiottassent;ɑ̃.fjɔ.fas
enfiottasses;ɑ̃.fjɔ.fas
enfiottassiez;ɑ̃.fjɔ.fa.sje
enfiottassions;ɑ̃.fjɔ.fa.sjɔ̃
enfiotte;ɑ̃.fjɔf
enfiottent;ɑ̃.fjɔf
enfiotter;ɑ̃.fjɔ.te
enfiottera;ɑ̃.fjɔ.fə.ʁa
enfiotterai;ɑ̃.fjɔ.fə.ʁe
enfiotteraient;ɑ̃.fjɔ.fə.ʁɛ
enfiotterais;ɑ̃.fjɔ.fə.ʁɛ
enfiotterait;ɑ̃.fjɔ.fə.ʁɛ
enfiotteras;ɑ̃.fjɔ.fə.ʁa
enfiotterez;ɑ̃.fjɔ.fə.ʁe
enfiotteriez;ɑ̃.fjɔ.fə.ʁje
enfiotterions;ɑ̃.fjɔ.fə.ʁjɔ̃
enfiotterons;ɑ̃.fjɔ.fə.ʁɔ̃
enfiotteront;ɑ̃.fjɔ.fə.ʁɔ̃
enfiottes;ɑ̃.fjɔf
enfiottez;ɑ̃.fjɔ.fe
enfiottiez;ɑ̃.fjɔ.fje
enfiottions;ɑ̃.fjɔ.fjɔ̃
enfiottons;ɑ̃.fjɔ.fɔ̃
enfirouâpâmes;ɑ̃.fi.ʁwɑ.pam
enfirouâpât;ɑ̃.fi.ʁwɑ.pa
enfirouâpâtes;ɑ̃.fi.ʁwɑ.pat
enfirouâpèrent;ɑ̃.fi.ʁwɑ.pɛʁ
enfirouâpé;ɑ̃.fi.ʁwɑ.pe
enfirouâpée;ɑ̃.fi.ʁwɑ.pe
enfirouâpées;ɑ̃.fi.ʁwɑ.pe
enfirouâpés;ɑ̃.fi.ʁwɑ.pe
enfirouâpa;ɑ̃.fi.ʁwɑ.pa
enfirouâpai;ɑ̃.fi.ʁwɑ.pe
enfirouâpaient;ɑ̃.fi.ʁwɑ.pɛ
enfirouâpais;ɑ̃.fi.ʁwɑ.pɛ
enfirouâpait;ɑ̃.fi.ʁwɑ.pɛ
enfirouâpant;ɑ̃.fi.ʁwɑ.pɑ̃
enfirouâpas;ɑ̃.fi.ʁwɑ.pa
enfirouâpasse;ɑ̃.fi.ʁwɑ.pas
enfirouâpassent;ɑ̃.fi.ʁwɑ.pas
enfirouâpasses;ɑ̃.fi.ʁwɑ.pas
enfirouâpassiez;ɑ̃.fi.ʁwɑ.pa.sje
enfirouâpassions;ɑ̃.fi.ʁwɑ.pa.sjɔ̃
enfirouâpe;ɑ̃.fi.ʁwɑp
enfirouâpent;ɑ̃.fi.ʁwɑp
enfirouâper;ɑ̃.fi.ʁwɑ.pe
enfirouâpera;ɑ̃.fi.ʁwɑ.pə.ʁa
enfirouâperai;ɑ̃.fi.ʁwɑ.pə.ʁe
enfirouâperaient;ɑ̃.fi.ʁwɑ.pə.ʁɛ
